# t	S	E	I	R
0.000000000000000000e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.000000000113629994e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.000000000113573151e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
3.000000000113516307e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
4.000000000113459464e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
5.000000000113402621e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
6.000000000113345777e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
7.000000000113288934e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
8.000000000113232090e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
9.000000000113175247e-01	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.000000000011311840e+00	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.100000000011306156e+00	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.200000000011300472e+00	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.300000000011294787e+00	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.400000000011289103e+00	9.999800000000000000e+04	1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.500000000011283419e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.600000000011277734e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.700000000011272050e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.800000000011266366e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.900000000011260681e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.000000000011254997e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.100000000011249313e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.200000000011243628e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.300000000011237944e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.400000000011232260e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.500000000011226575e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.600000000011220891e+00	9.999700000000000000e+04	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.700000000011215207e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
2.800000000011209522e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
2.900000000011203838e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.000000000011198154e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.100000000011192469e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.200000000011186785e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.300000000011181100e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.400000000011175416e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.500000000011169732e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.600000000011164047e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.700000000011158363e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.800000000011152679e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
3.900000000011146994e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
4.000000000011141310e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
4.100000000011135626e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
4.200000000011129941e+00	9.999700000000000000e+04	1.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
