# t	S	E	I_l	I_h	R
0.000000000000000000e+00	9.999900000000000000e+04	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.000000000113629994e-01	9.999700000000000000e+04	2.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.000000000113573151e-01	9.999500000000000000e+04	4.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
3.000000000113516307e-01	9.999300000000000000e+04	6.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
4.000000000113459464e-01	9.999300000000000000e+04	4.000000000000000000e+00	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
5.000000000113402621e-01	9.999300000000000000e+04	4.000000000000000000e+00	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
6.000000000113345777e-01	9.999300000000000000e+04	4.000000000000000000e+00	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
7.000000000113288934e-01	9.999300000000000000e+04	4.000000000000000000e+00	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
8.000000000113232090e-01	9.999200000000000000e+04	5.000000000000000000e+00	2.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
9.000000000113175247e-01	9.998900000000000000e+04	8.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.000000000011311840e+00	9.998800000000000000e+04	9.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.100000000011306156e+00	9.998700000000000000e+04	1.000000000000000000e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.200000000011300472e+00	9.998700000000000000e+04	1.000000000000000000e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.300000000011294787e+00	9.998700000000000000e+04	1.000000000000000000e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.400000000011289103e+00	9.998600000000000000e+04	1.000000000000000000e+01	2.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.500000000011283419e+00	9.998500000000000000e+04	1.000000000000000000e+01	2.000000000000000000e+00	1.000000000000000000e+00	2.000000000000000000e+00
1.600000000011277734e+00	9.998500000000000000e+04	8.000000000000000000e+00	4.000000000000000000e+00	1.000000000000000000e+00	2.000000000000000000e+00
1.700000000011272050e+00	9.998300000000000000e+04	9.000000000000000000e+00	5.000000000000000000e+00	1.000000000000000000e+00	2.000000000000000000e+00
1.800000000011266366e+00	9.998200000000000000e+04	1.000000000000000000e+01	5.000000000000000000e+00	1.000000000000000000e+00	2.000000000000000000e+00
1.900000000011260681e+00	9.998200000000000000e+04	1.000000000000000000e+01	5.000000000000000000e+00	1.000000000000000000e+00	2.000000000000000000e+00
2.000000000011254997e+00	9.998100000000000000e+04	1.100000000000000000e+01	5.000000000000000000e+00	1.000000000000000000e+00	2.000000000000000000e+00
2.100000000011249313e+00	9.998100000000000000e+04	1.000000000000000000e+01	5.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.200000000011243628e+00	9.998000000000000000e+04	1.000000000000000000e+01	6.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.300000000011237944e+00	9.997900000000000000e+04	1.100000000000000000e+01	6.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.400000000011232260e+00	9.997900000000000000e+04	1.100000000000000000e+01	6.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.500000000011226575e+00	9.997900000000000000e+04	1.000000000000000000e+01	7.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.600000000011220891e+00	9.997900000000000000e+04	1.000000000000000000e+01	7.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.700000000011215207e+00	9.997800000000000000e+04	1.000000000000000000e+01	8.000000000000000000e+00	2.000000000000000000e+00	2.000000000000000000e+00
2.800000000011209522e+00	9.997600000000000000e+04	1.100000000000000000e+01	8.000000000000000000e+00	2.000000000000000000e+00	3.000000000000000000e+00
2.900000000011203838e+00	9.997500000000000000e+04	1.200000000000000000e+01	8.000000000000000000e+00	2.000000000000000000e+00	3.000000000000000000e+00
3.000000000011198154e+00	9.997400000000000000e+04	1.300000000000000000e+01	7.000000000000000000e+00	2.000000000000000000e+00	4.000000000000000000e+00
3.100000000011192469e+00	9.997300000000000000e+04	1.400000000000000000e+01	7.000000000000000000e+00	2.000000000000000000e+00	4.000000000000000000e+00
